Session Name,Session Type,Session Start Time,Session Is Complete,Common Name,Genus,Species,Number,Remarks,Latitude,Longitude,Accuracy,Zone,Date,Time
202001221015,BIO212,01/22/2020,Y,Rock Pigeon,Columba,livia,5,,30.6630752,76.7315528,24.62299919128418,AB,01/22/2020,10:15
202001221015,BIO212,01/22/2020,Y,Black Kite,Milvus,migrans,1,"Flying around ",30.6629222,76.7315116,22.85700035095215,AB,01/22/2020,10:16
202001221015,BIO212,01/22/2020,Y,Rufous Treepie,Dendrocitta,vagabunda,1,"flying around
",30.6628432,76.7316476,22.198999404907227,AB,01/22/2020,10:19
202001221015,BIO212,01/22/2020,Y,Black Kite,Milvus,migrans,1,,30.6625185,76.7310253,10.0,AB,01/22/2020,10:21
202001221015,BIO212,01/22/2020,Y,Black Drongo,Dicrurus,macrocercus,1,"long tail
on electric wire
asymmetric fork
",30.6622919,76.7307208,24.302000045776367,AB,01/22/2020,10:22
202001221015,BIO212,01/22/2020,Y,Common Chiffchaff,Phylloscopus,collybita,2,"flitting around
",30.6618163,76.7296718,19.715999603271484,Towards INST,01/22/2020,10:29
202001221015,BIO212,01/22/2020,Y,Common Chiffchaff,Phylloscopus,collybita,1,,30.6613475,76.7289043,11.621999740600586,Towards INST,01/22/2020,10:33
202001221015,BIO212,01/22/2020,Y,Common Chiffchaff,Phylloscopus,collybita,1,,30.661343,76.7289002,13.163000106811523,Towards INST,01/22/2020,10:33
202001221015,BIO212,01/22/2020,Y,Plain Prinia,Prinia,inornata,5,,30.6612697,76.7289041,19.586000442504883,Towards INST,01/22/2020,10:35
202001221015,BIO212,01/22/2020,Y,White-throated Fantail,Rhipidura,albicollis,3,,30.6611675,76.7289775,22.395000457763672,Towards INST,01/22/2020,10:40
202001221015,BIO212,01/22/2020,Y,Red-wattled Lapwing,Vanellus,indicus,3,,30.6612726,76.7287807,22.915000915527344,Towards INST,01/22/2020,10:41
202001221015,BIO212,01/22/2020,Y,Greater Coucal,Centropus,sinensis,3,,30.6612747,76.7287648,18.72100067138672,Towards INST,01/22/2020,10:41
202001221015,BIO212,01/22/2020,Y,Cattle Egret,Bubulcus,ibis,1,,30.6633255,76.7295072,21.58300018310547,Hostel Area,01/22/2020,10:48
202001221015,BIO212,01/22/2020,Y,Indian White-Eye,Zosterops,palpebrosus,2,,30.6634316,76.7294658,19.461999893188477,Hostel Area,01/22/2020,10:49
202001221015,BIO212,01/22/2020,Y,Rock Pigeon,Columba,livia,1,,30.6636029,76.7293316,24.861000061035156,Hostel Area,01/22/2020,10:50
202001221015,BIO212,01/22/2020,Y,Black Drongo,Dicrurus,macrocercus,1,,30.6636082,76.7293325,14.055999755859375,Hostel Area,01/22/2020,10:50
202001221015,BIO212,01/22/2020,Y,House Crow,Corvus,splendens,1,,30.6645877,76.7286659,22.81399917602539,Other Zone,01/22/2020,10:52
202001221015,BIO212,01/22/2020,Y,White-throated Fantail,Rhipidura,albicollis,2,,30.6649386,76.7289674,24.548999786376953,Health Center,01/22/2020,10:53
